특성별,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019
특성별,전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원)
전체,216259,102309,62656,51294,47853,208718,97080,60396,51242,47512,201266,90461,60006,50799,47640,190395,77554,61162,51679,49083,185960,77375,57831,50754,49045,182297,75949,55678,50671,48756,178346,75287,52384,50675,48713,180606,77438,48102,55065,52632,186703,81311,48297,57095,54810,194852,85531,49972,59348,57181,209970,95597,52554,61819,59384
대도시,104086,45515,29058,29513,27937,98835,41508,28125,29202,27524,95040,38837,27633,28569,27045,91562,35353,28285,27924,26570,89716,34489,27195,28032,27102,86488,34163,25556,26770,25675,83883,33634,23797,26453,25319,84274,33884,22439,27951,26571,88957,37163,22858,28936,27806,89462,37935,23000,28527,27495,95063,41180,23639,30244,29059
서울,52502,21924,13936,16642,15923,49119,20137,12808,16174,15297,48018,19544,12614,15860,15250,43536,15745,12870,14921,14309,43629,16006,12754,14869,14438,42771,16481,12012,14278,13609,41424,16017,11222,14184,13488,41263,15625,10657,14981,14089,44017,17532,11361,15124,14573,44439,18595,10764,15080,14533,46853,19529,11535,15789,15152
광역시,51584,23592,15122,12871,12013,49716,21372,15317,13027,12226,47021,19294,15019,12709,11795,48026,19608,15414,13003,12261,46087,18483,14441,13163,12664,43717,17682,13544,12492,12066,42459,17616,12574,12269,11831,43011,18259,11782,12970,12482,44940,19631,11497,13812,13233,45022,19339,12236,13446,12961,48209,21651,12104,14454,13907
대도시 이외,112173,56794,33598,21781,19916,109883,55572,32271,22040,19989,106226,51623,32373,22230,20596,98833,42200,32877,23755,22513,96244,42886,30635,22722,21943,95809,41786,30122,23901,23081,94462,41653,28587,24222,23394,96331,43555,25662,27114,26061,97745,44148,25439,28159,27004,105390,47597,26972,30821,29686,114907,54417,28915,31575,30326
중소도시,91114,44191,27660,19263,17964,88467,42465,26621,19381,17941,85577,39522,26490,19566,18318,83514,35406,27021,21087,20100,79432,34613,25349,19470,18866,77823,32902,24697,20224,19552,78885,34845,23696,20344,19722,81301,36250,21583,23468,22560,78752,34299,21292,23162,22204,87116,38950,22059,26108,25281,94318,44380,23651,26287,25407
읍면지역,21059,12603,5938,2518,1952,21415,13107,5650,2659,2047,20649,12101,5884,2664,2278,15318,6794,5857,2668,2413,16812,8273,5286,3252,3078,17986,8884,5425,3677,3529,15577,6808,4892,3878,3672,15031,7305,4080,3646,3501,18993,9849,4147,4997,4800,18274,8647,4913,4714,4405,20588,10036,5265,5287,4919
과목: 일반교과 사교육,175627,73564,58457,43606,41813,169217,69313,56513,43391,41199,161935,63031,55767,43137,41490,155773,54642,56571,44560,43254,148802,52813,53016,42973,41967,143831,49920,51122,42790,41657,138947,47950,47678,43320,42267,135056,45484,43053,46520,45230,135865,46956,42317,46592,45410,142600,50326,43864,48410,47394,154052,56545,46191,51315,50069
국어,19548,8182,6443,4924,4724,18299,7628,5817,4855,4635,15657,6337,4977,4344,4170,13969,5807,4044,4118,4029,12638,4747,3691,4199,4102,11317,4310,3043,3964,3897,10848,4265,2701,3882,3798,11318,4030,2456,4832,4699,12577,4558,2527,5491,5412,13854,4808,2559,6488,6407,15013,5098,2615,7300,7182
영어,71747,35094,21735,14918,14213,69720,33476,21541,14703,13841,67685,30927,21706,15053,14313,64602,26350,23068,15184,14603,63318,25918,21808,15591,15165,61497,24804,21349,15344,14873,58348,22886,19918,15544,15115,55443,21631,17659,16154,15627,54250,21354,17383,15513,15100,56729,22894,17856,15979,15596,61381,25797,18859,16725,16239
수학,59703,18427,21397,19879,19192,59260,17752,21365,20143,19210,59024,16483,22169,20372,19784,60200,14846,23898,21457,20938,57762,14974,22713,20075,19693,57683,14682,22484,20516,20023,55932,14288,20924,20720,20305,53636,12917,18890,21830,21371,53931,13789,18367,21775,21290,55479,14504,19214,21762,21379,58915,16591,20112,22211,21766
"사회, 과학",14519,5240,6709,2570,2536,12508,4659,5712,2136,2081,10834,4040,5015,1779,1732,8991,3407,3622,1962,1946,7148,2739,3100,1309,1278,6799,2395,2757,1647,1628,6703,2386,2563,1753,1738,7025,2312,2423,2290,2252,7420,2673,2354,2393,2362,7744,2567,2356,2821,2800,8503,2611,2509,3383,3348
논술,5426,3539,1036,851,837,5447,3355,985,1107,1086,5545,3248,1077,1220,1206,5311,2688,1172,1451,1445,5734,3139,1108,1487,1484,4785,2679,1021,1084,1081,4988,2857,1028,1103,1101,5390,3267,1081,1042,1028,5274,3244,1126,904,882,6030,3881,1347,802,774,6525,4201,1295,1029,1017
"제2외국어, 한문, 컴퓨터 등",4681,3080,1136,465,311,3985,2445,1095,446,346,3190,1998,823,369,285,2700,1545,767,388,294,2203,1297,595,311,246,1750,1049,468,234,155,2128,1268,544,316,211,2244,1328,544,372,252,2414,1338,560,516,363,2764,1674,532,558,439,3715,2247,802,666,519
컴퓨터,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1155,728,218,208,122
"제2외국어, 한문 등",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2560,1519,583,457,397
"과목: 예체능, 취미·교양 사교육",40044,28745,4199,7101,5801,38925,27768,3883,7274,6043,38675,27430,4239,7005,5831,33969,22911,4591,6467,5522,36741,24563,4815,7363,6870,37949,26029,4556,7365,6820,38730,27337,4706,6687,6104,44733,31955,5049,7729,6932,49160,34238,5864,9057,8450,50706,35039,5981,9686,8841,54274,38814,6210,9250,8444
음악,18426,13745,1743,2937,2568,17569,12837,1660,3072,2774,17293,12669,1917,2706,2479,14141,9957,2062,2122,1900,14568,10308,1740,2520,2426,14671,10455,1663,2552,2448,13923,10393,1660,1871,1769,16246,12249,1654,2342,2255,16650,12406,1933,2312,2187,16336,11740,1592,3004,2892,17706,12982,1896,2828,2700
미술,6732,3776,607,2349,2050,6577,3573,654,2349,2041,6149,3261,522,2366,2009,5763,2960,549,2254,1978,6850,3494,731,2624,2513,6604,3423,653,2528,2382,6586,3479,636,2471,2394,7352,3912,539,2901,2523,7889,4229,853,2808,2709,8718,4597,768,3353,3085,9119,5281,856,2982,2844
체육,11989,9601,1400,989,628,12005,9688,1217,1100,758,12526,10130,1355,1041,795,10957,8557,1486,914,767,12089,9397,1713,978,852,13534,10809,1740,985,861,14886,11869,1763,1254,1045,17163,13676,2225,1262,1076,19548,15060,2355,2133,1917,20652,16024,2815,1813,1502,22524,18027,2594,1903,1554
취미·교양,2896,1622,449,825,556,2776,1672,352,753,470,2708,1371,444,893,548,3106,1436,494,1177,878,3234,1363,630,1241,1080,3141,1342,500,1299,1128,3334,1597,646,1091,896,3972,2118,631,1223,1078,5072,2544,724,1805,1638,5001,2678,807,1516,1362,4924,2524,864,1536,1346
과목: 취업관련 사교육,587,0,0,587,238,577,0,0,577,271,656,0,0,656,320,652,0,0,652,306,418,,,418,208,516,0,0,516,279,669,0,0,669,342,816,0,0,816,470,1197,0,0,1197,708,929,0,0,929,637,910,0,0,910,549
과목: 진로·진학 학습상담,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480,116,116,249,242,616,166,127,324,309,734,237,153,344,322
유형: 일반교과 사교육,175627,73564,58457,43606,41813,169217,69313,56513,43391,41199,161935,63031,55767,43137,41490,155773,54642,56571,44560,43254,148802,52813,53016,42973,41967,143831,49920,51122,42790,41657,138947,47950,47678,43320,42267,135056,45484,43053,46520,45230,135865,46956,42317,46592,45410,142600,50326,43864,48410,47394,154052,56545,46191,51315,50069
개인과외,29649,5624,9692,14333,13653,27939,4886,9052,14000,13142,28010,5221,9180,13609,13044,26924,4227,9413,13284,12765,25574,4833,8169,12571,12303,24503,4365,8155,11984,11642,24825,5511,7693,11621,11256,21923,4131,6732,11059,10651,19337,3970,5591,9776,9416,20234,4651,5926,9657,9340,19902,4476,5633,9792,9471
그룹과외,18640,7470,5869,5301,5101,19127,7539,5946,5642,5444,18126,6830,5940,5355,5158,18204,6068,6547,5589,5474,16755,6134,5555,5066,4940,16330,5952,5605,4773,4726,15997,6109,5276,4611,4525,13536,5042,3831,4663,4565,14644,5379,4507,4758,4676,14854,5865,4488,4500,4423,14377,5761,4453,4162,4096
학원수강,109203,46561,40209,22433,21596,106036,44773,38889,22374,21355,102509,41030,38410,23069,22251,99837,36331,38644,24862,24238,96842,34393,37695,24755,24181,93520,32101,35897,25522,24811,89106,29048,33554,26504,25932,89075,27896,31139,30040,29290,90923,28790,30873,31260,30570,95727,30379,31980,33368,32788,106974,36264,34404,36306,35487
방문학습지,15393,13216,1925,253,204,13529,11559,1736,234,181,11107,9406,1511,189,153,8833,7432,1248,153,119,8008,6837,1059,112,83,7974,6923,959,93,70,7485,6628,759,98,81,7480,6645,744,91,79,7801,6890,789,123,110,7920,7070,754,96,80,7996,7164,769,64,55
유료인터넷 및 통신강좌 등,2740,693,762,1286,1259,2586,557,890,1140,1077,2184,543,725,915,884,1975,584,719,672,658,1623,615,539,469,461,1503,579,506,418,408,1534,653,396,485,472,3042,1770,607,666,644,3159,1928,557,675,639,3865,2361,715,789,762,4803,2881,931,990,960
"유형: 예체능, 취미·교양 사교육",40044,28745,4199,7101,5801,38925,27768,3883,7274,6043,38675,27430,4239,7005,5831,33969,22911,4591,6467,5522,36741,24563,4815,7363,6870,37949,26029,4556,7365,6820,38730,27337,4706,6687,6104,44733,31955,5049,7729,6932,49160,34238,5864,9057,8450,50706,35039,5981,9686,8841,54274,38814,6210,9250,8444
개인과외,8185,4548,1213,2424,2135,8290,4634,1092,2564,2260,7634,4413,1189,2031,1950,5037,2478,1278,1280,1173,6422,3562,1121,1739,1665,6981,3820,1254,1906,1816,7206,4042,1396,1768,1578,7282,3929,1293,2060,1995,8050,3825,1647,2578,2443,8099,4134,1269,2696,2573,7884,3947,1318,2619,2443
그룹과외,3076,2401,437,238,191,3105,2374,434,297,197,3049,2331,462,255,187,2287,1595,522,169,136,2551,1799,535,217,200,2783,2204,419,159,133,3159,2435,527,197,177,2951,2142,486,324,266,3752,2785,554,413,378,3996,2862,721,412,325,4137,3100,570,466,395
학원수강,27909,21087,2434,4388,3435,26642,20058,2246,4337,3527,27068,20008,2426,4634,3623,25694,18140,2609,4946,4159,27316,18826,3107,5384,4986,27912,19793,2844,5276,4855,27734,20361,2696,4677,4312,32264,24159,2977,5127,4487,34482,25298,3303,5881,5488,36192,26165,3626,6401,5817,39804,29881,3956,5967,5459
방문수업 및 기타,875,708,115,52,41,888,701,112,75,59,924,678,162,84,71,950,697,182,72,55,451,375,52,24,20,274,212,39,23,16,631,499,87,45,38,2236,1725,293,218,185,2876,2331,361,184,141,2420,1878,365,177,125,2449,1886,365,197,147